0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
12.376831, 15344, 108.023415
12.390991, 13296, 99.765434
12.405151, 9712, 92.690544
12.419311, 9712, 86.5615
12.433471, 9712, 81.2005
12.447631, 9712, 76.471695
12.461791, 9712, 72.269485
12.475952, 9712, 68.51055
12.490112, 9712, 65.12826
12.504272, 65520, 1334.3334
12.518432, 32752, 654.0612
12.532592, 32752, 433.43243
12.546752, 32752, 324.23233
12.560913, 17392, 259.0645
12.575073, 17392, 215.7651
12.589233, 17392, 184.90805
12.603393, 17392, 161.80402
12.617553, 17392, 143.85715
12.631713, 17392, 129.51405
12.645874, 17392, 117.78832
12.660034, 17392, 108.023415
12.674194, 17392, 99.765434
12.688354, 9712, 92.690544
12.702514, 9712, 86.5615
12.716674, 9712, 81.2005
12.730834, 9712, 76.471695
12.744995, 9712, 72.269485
12.759155, 9712, 68.51055
12.773315, 9712, 65.12826
12.787475, 65520, 1334.3334
12.801635, 32752, 654.0612
12.815795, 32752, 433.43243
12.829956, 32752, 324.23233
12.858276, 17392, 215.7651
12.872436, 17392, 184.90805
12.886596, 17392, 161.80402
12.900756, 17392, 143.85715
12.914916, 17392, 129.51405
12.929077, 17392, 117.78832
12.943237, 15344, 108.023415
12.957397, 15344, 99.765434
12.971557, 15344, 92.690544
12.985717, 9712, 86.5615
12.999877, 9712, 81.2005
13.014099, 9712, 76.471695
13.028259, 8688, 72.269485
13.042419, 8176, 68.51055
13.056579, 8176, 65.12826
13.070739, 34800, 1334.3334
13.084899, 32752, 654.0612
13.099060, 32752, 433.43243
13.113220, 17392, 324.23233
13.127380, 17392, 259.0645
13.141540, 17392, 215.7651
13.155700, 17392, 184.90805
13.169860, 17392, 161.80402
13.184020, 17392, 143.85715
13.198181, 17392, 129.51405
13.212341, 16880, 117.78832
13.226501, 10736, 108.023415
13.240661, 9712, 99.765434
13.254821, 9712, 92.690544
13.268981, 9712, 86.5615
13.283142, 9712, 81.2005
13.297302, 8176, 76.471695
13.311462, 8176, 72.269485
13.325622, 8176, 68.51055
13.339782, 8176, 65.12826
13.353942, 65520, 1334.3334
13.368103, 32752, 654.0612
13.382263, 32752, 433.43243
13.396423, 26608, 324.23233
13.410583, 17392, 259.0645
13.424743, 17392, 215.7651
13.438903, 17392, 184.90805
